# The file is automatically generated. And should not be modified.
# v-graph obstacle polygon. format: id  x  y.
0,0,378
0,0,499
0,99,499
0,99,404
0,97,382
0,93,378
0,70,376
1,242,210
1,232,218
1,230,294
1,228,294
1,213,319
1,208,333
1,208,356
1,222,369
1,217,426
1,210,471
1,210,499
1,303,499
1,308,431
1,335,431
1,340,427
1,349,406
1,361,390
1,361,363
1,356,354
1,327,339
1,314,327
1,316,249
1,312,244
1,310,215
1,305,211
2,363,207
2,361,213
2,361,291
2,364,304
2,446,302
2,450,297
2,456,277
2,456,222
2,454,211
2,449,207
3,114,205
3,107,212
3,105,220
3,107,279
3,113,331
3,120,338
3,176,338
3,182,336
3,188,328
3,188,277
3,184,258
3,184,211
3,177,205
4,312,94
4,309,99
4,309,145
4,312,161
4,316,166
4,323,168
4,393,168
4,402,163
4,403,125
4,400,118
4,399,93
4,394,87
4,357,85
4,337,89
4,321,89
5,138,67
5,135,75
5,134,133
5,139,139
5,226,139
5,234,133
5,234,70
5,226,65
6,461,49
6,445,57
6,439,65
6,440,149
6,447,157
6,457,158
6,463,163
6,499,163
6,498,50
7,490,0
7,490,10
7,499,10
7,499,0
# v-graph visibility edge. format: start.x  start.y  end.x  end.y
0,378,0,499
0,378,138,67
0,378,135,75
0,378,134,133
0,378,139,139
0,378,107,212
0,378,105,220
0,378,107,279
0,378,113,331
0,378,120,338
0,378,176,338
0,378,208,333
0,378,208,356
0,378,222,369
0,378,70,376
0,499,99,499
99,499,210,499
99,499,99,404
99,499,105,220
99,499,107,279
99,499,113,331
99,499,120,338
99,499,176,338
99,499,182,336
99,499,188,328
99,499,228,294
99,499,213,319
99,499,208,333
99,499,208,356
99,499,222,369
99,499,217,426
99,499,210,471
99,404,217,426
99,404,210,471
99,404,210,499
99,404,97,382
99,404,105,220
99,404,107,279
99,404,113,331
99,404,120,338
99,404,176,338
99,404,182,336
99,404,213,319
99,404,208,333
99,404,208,356
99,404,222,369
97,382,217,426
97,382,210,471
97,382,210,499
97,382,93,378
97,382,105,220
97,382,107,279
97,382,113,331
97,382,120,338
97,382,176,338
97,382,182,336
97,382,208,333
97,382,208,356
97,382,222,369
93,378,217,426
93,378,210,471
93,378,70,376
93,378,105,220
93,378,107,279
93,378,113,331
93,378,120,338
93,378,176,338
93,378,182,336
93,378,208,333
93,378,208,356
93,378,222,369
70,376,135,75
70,376,105,220
70,376,107,279
70,376,113,331
70,376,120,338
70,376,176,338
70,376,182,336
70,376,208,333
70,376,208,356
70,376,222,369
242,210,305,211
242,210,232,218
242,210,184,211
242,210,177,205
242,210,139,139
242,210,226,139
242,210,234,133
242,210,234,70
242,210,312,94
242,210,309,99
242,210,309,145
242,210,312,161
242,210,316,166
242,210,323,168
242,210,393,168
242,210,447,157
242,210,457,158
242,210,463,163
242,210,499,163
242,210,363,207
232,218,230,294
232,218,228,294
232,218,213,319
232,218,208,333
232,218,188,328
232,218,188,277
232,218,184,258
232,218,184,211
232,218,177,205
232,218,139,139
232,218,226,139
232,218,234,133
232,218,312,94
232,218,309,99
232,218,309,145
230,294,228,294
230,294,188,277
230,294,184,258
230,294,184,211
230,294,226,139
230,294,234,133
228,294,213,319
228,294,182,336
228,294,188,328
228,294,188,277
228,294,184,258
228,294,184,211
228,294,226,139
228,294,234,133
213,319,208,333
213,319,182,336
213,319,188,328
213,319,188,277
213,319,184,258
213,319,184,211
213,319,226,139
213,319,234,133
208,333,208,356
208,333,176,338
208,333,182,336
208,333,188,328
208,333,188,277
208,333,184,258
208,333,184,211
208,333,226,139
208,333,234,133
208,356,222,369
208,356,217,426
208,356,210,471
208,356,210,499
208,356,120,338
208,356,176,338
208,356,182,336
208,356,188,328
208,356,188,277
208,356,184,258
208,356,184,211
222,369,217,426
222,369,210,471
222,369,120,338
222,369,176,338
222,369,182,336
217,426,210,471
217,426,120,338
217,426,176,338
217,426,182,336
217,426,188,328
217,426,188,277
217,426,184,211
210,471,210,499
210,471,113,331
210,471,120,338
210,471,176,338
210,471,182,336
210,471,188,328
210,471,188,277
210,471,184,211
210,499,303,499
210,499,0,499
210,499,93,378
210,499,113,331
210,499,120,338
210,499,176,338
210,499,182,336
210,499,188,328
210,499,188,277
210,499,184,211
303,499,99,499
303,499,0,499
303,499,308,431
303,499,335,431
303,499,340,427
303,499,361,390
303,499,446,302
303,499,450,297
308,431,335,431
335,431,340,427
340,427,349,406
340,427,361,390
340,427,446,302
349,406,361,390
349,406,446,302
361,390,361,363
361,390,364,304
361,390,446,302
361,363,356,354
361,363,316,249
361,363,310,215
361,363,312,161
361,363,316,166
361,363,323,168
361,363,361,213
361,363,361,291
361,363,364,304
361,363,446,302
356,354,327,339
356,354,314,327
356,354,316,249
356,354,310,215
356,354,312,161
356,354,316,166
356,354,323,168
356,354,361,213
356,354,361,291
356,354,364,304
356,354,446,302
327,339,314,327
327,339,316,249
327,339,309,145
327,339,312,161
327,339,316,166
327,339,323,168
327,339,361,213
327,339,361,291
327,339,364,304
327,339,446,302
314,327,316,249
314,327,323,168
314,327,363,207
314,327,361,213
314,327,361,291
314,327,364,304
314,327,446,302
316,249,361,291
316,249,364,304
316,249,312,244
316,249,310,215
316,249,309,145
316,249,312,161
316,249,316,166
316,249,323,168
316,249,393,168
316,249,402,163
316,249,363,207
316,249,361,213
312,244,361,291
312,244,364,304
312,244,310,215
312,244,309,145
312,244,312,161
312,244,312,94
312,244,316,166
312,244,323,168
312,244,393,168
312,244,402,163
312,244,440,149
312,244,363,207
312,244,361,213
310,215,361,291
310,215,364,304
310,215,305,211
310,215,226,139
310,215,234,133
310,215,234,70
310,215,309,145
310,215,312,161
310,215,316,166
310,215,323,168
310,215,393,168
310,215,402,163
310,215,440,149
310,215,447,157
310,215,457,158
310,215,463,163
310,215,499,163
310,215,363,207
310,215,361,213
305,211,361,213
305,211,177,205
305,211,139,139
305,211,226,139
305,211,234,133
305,211,234,70
305,211,309,99
305,211,309,145
305,211,312,161
305,211,316,166
305,211,323,168
305,211,393,168
305,211,440,149
305,211,447,157
305,211,457,158
305,211,463,163
305,211,499,163
305,211,363,207
363,207,449,207
363,207,361,213
363,207,184,211
363,207,177,205
363,207,139,139
363,207,226,139
363,207,234,133
363,207,316,166
363,207,323,168
363,207,393,168
363,207,402,163
363,207,440,149
363,207,447,157
363,207,457,158
363,207,463,163
363,207,499,163
361,213,361,291
361,213,177,205
361,213,139,139
361,213,226,139
361,213,234,133
361,213,316,166
361,213,323,168
361,291,364,304
361,291,361,390
361,291,234,70
361,291,312,161
361,291,316,166
361,291,323,168
364,304,234,70
364,304,312,161
364,304,316,166
364,304,323,168
364,304,446,302
446,302,450,297
450,297,456,277
450,297,499,163
456,277,456,222
456,277,457,158
456,277,463,163
456,277,499,163
456,222,454,211
456,222,447,157
456,222,457,158
456,222,463,163
456,222,499,163
454,211,449,207
454,211,402,163
454,211,403,125
454,211,400,118
454,211,399,93
454,211,440,149
454,211,447,157
454,211,457,158
454,211,463,163
454,211,499,163
449,207,177,205
449,207,139,139
449,207,226,139
449,207,316,166
449,207,323,168
449,207,393,168
449,207,402,163
449,207,403,125
449,207,400,118
449,207,399,93
449,207,440,149
449,207,447,157
449,207,457,158
449,207,463,163
449,207,499,163
114,205,177,205
114,205,107,212
114,205,135,75
114,205,134,133
114,205,139,139
114,205,226,139
114,205,312,94
114,205,309,99
114,205,309,145
114,205,312,161
114,205,316,166
114,205,323,168
114,205,393,168
114,205,463,163
114,205,499,163
107,212,105,220
107,212,135,75
107,212,134,133
107,212,139,139
105,220,107,279
105,220,135,75
107,279,113,331
113,331,120,338
120,338,176,338
176,338,182,336
182,336,188,328
188,328,188,277
188,328,226,139
188,328,234,133
188,277,184,258
188,277,184,211
188,277,226,139
188,277,234,133
188,277,312,94
188,277,309,99
184,258,184,211
184,258,226,139
184,258,234,133
184,258,312,94
184,258,309,99
184,258,309,145
184,211,177,205
184,211,134,133
184,211,139,139
184,211,226,139
184,211,234,133
184,211,312,94
184,211,309,99
184,211,309,145
184,211,312,161
184,211,316,166
184,211,323,168
184,211,393,168
184,211,447,157
184,211,457,158
184,211,463,163
184,211,499,163
177,205,134,133
177,205,139,139
177,205,226,139
177,205,234,133
177,205,312,94
177,205,309,99
177,205,309,145
177,205,312,161
177,205,316,166
177,205,323,168
177,205,393,168
177,205,457,158
177,205,463,163
177,205,499,163
312,94,309,99
312,94,226,139
312,94,234,133
312,94,234,70
312,94,226,65
312,94,321,89
309,99,309,145
309,99,226,139
309,99,234,133
309,99,234,70
309,99,226,65
309,145,312,161
309,145,139,139
309,145,226,139
309,145,234,133
309,145,234,70
312,161,316,166
312,161,139,139
312,161,226,139
312,161,234,133
312,161,234,70
316,166,323,168
316,166,139,139
316,166,226,139
316,166,234,133
316,166,234,70
323,168,393,168
323,168,139,139
393,168,402,163
393,168,440,149
393,168,447,157
393,168,457,158
393,168,463,163
393,168,499,163
402,163,463,163
402,163,499,163
402,163,403,125
402,163,439,65
402,163,440,149
402,163,447,157
402,163,457,158
403,125,440,149
403,125,447,157
403,125,400,118
403,125,399,93
403,125,439,65
400,118,440,149
400,118,447,157
400,118,399,93
400,118,439,65
399,93,440,149
399,93,394,87
399,93,490,0
399,93,490,10
399,93,499,10
399,93,445,57
399,93,439,65
394,87,357,85
394,87,234,70
394,87,226,65
394,87,490,0
394,87,490,10
394,87,499,10
394,87,445,57
394,87,439,65
357,85,337,89
357,85,321,89
357,85,234,70
357,85,226,65
357,85,490,0
357,85,490,10
357,85,499,10
357,85,461,49
357,85,445,57
357,85,439,65
337,89,321,89
337,89,234,70
337,89,226,65
337,89,490,0
337,89,490,10
337,89,499,10
337,89,461,49
337,89,445,57
337,89,439,65
321,89,226,139
321,89,234,133
321,89,234,70
321,89,226,65
321,89,490,0
321,89,490,10
321,89,499,10
321,89,461,49
321,89,445,57
321,89,439,65
138,67,135,75
138,67,490,0
138,67,490,10
138,67,499,10
138,67,461,49
138,67,445,57
138,67,226,65
135,75,134,133
134,133,139,139
139,139,226,139
226,139,323,168
226,139,234,133
226,139,490,0
234,133,234,70
234,133,490,0
234,70,226,65
234,70,490,0
234,70,490,10
234,70,499,10
234,70,461,49
234,70,445,57
234,70,439,65
226,65,439,65
226,65,490,0
226,65,490,10
226,65,499,10
226,65,461,49
226,65,445,57
461,49,498,50
461,49,445,57
461,49,490,0
461,49,490,10
461,49,499,10
445,57,439,65
445,57,490,0
445,57,490,10
445,57,499,10
439,65,440,149
440,149,447,157
447,157,457,158
447,157,463,163
457,158,463,163
463,163,499,163
499,163,498,50
499,163,499,10
498,50,490,10
498,50,499,10
490,0,499,0
490,0,490,10
490,10,499,10
499,10,499,0
499,0,499,163
